Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Tales from the Crib""",8,8b,24-Dec-03,"Vicita has to use a new bed, but she wants to keep her crib. D.W. tells her the story of when she grew out of hers.",https://static.wikia.nocookie.net/arthur/images/6/64/0808bmi.jpg/revision/latest?cb=20200320202210,https://arthur.fandom.com/wiki/Tales_from_the_Crib
"""Flea to Be You and Me""",8,9a,25-Dec-03,"A flea named Pepe tells his around the world story of how he got separated from his brother, Sale.",https://static.wikia.nocookie.net/arthur/images/9/9d/0809ami.jpg/revision/latest?cb=20200320202118,https://arthur.fandom.com/wiki/Flea_to_Be_You_and_Me
"""Kiss and Tell""",8,9b,25-Dec-03,"Emily tells D.W. how she felt when a boy kissed her on vacation, and D.W. begins to wonder what it feels like. When James kisses her, though, she realizes that she may be too young to fully appreciate it, and Emily told her that it was a kiss on the hand.",https://static.wikia.nocookie.net/arthur/images/b/b9/0809bmib.jpg/revision/latest?cb=20141019000053,https://arthur.fandom.com/wiki/Kiss_and_Tell
"""Big Horns George""",8,10a,26-Dec-03,George learns how to sing the blues with a little inspiration from Wally and the Brain's CDs.,https://static.wikia.nocookie.net/arthur/images/a/a7/Big_Horn_George_2.png/revision/latest?cb=20110929074123,https://arthur.fandom.com/wiki/Big_Horns_George
"""Bleep""",8,10b,26-Dec-03,"D.W. overhears a curse word said by a teenage boy, but she's afraid if she says it, something will break. The Tibble Twins tell her if she says it, anyone will become her zombie servant. She tests this on Vicita, only to get in trouble, but her mom does not punish her because she did not know what it meant. She then decides to talk to her friends about cursing.",https://static.wikia.nocookie.net/arthur/images/4/43/Bleep.JPG/revision/latest?cb=20120423062910,https://arthur.fandom.com/wiki/Bleep
"""Castles in the Sky""",9,1a,27-Dec-04,"The tree house collapses under the weight of snow on the roof. After meeting Frank Gehry at the Sugar Bowl, Arthur and his friends come up with different ideas to build a new one. The only design they agree on is the original, which they rebuild. Frank Gehry guest stars as himself.",https://static.wikia.nocookie.net/arthur/images/c/cf/Castles_in_the_Sky_main_image.png/revision/latest?cb=20200320201744,https://arthur.fandom.com/wiki/Castles_in_the_Sky
"""Tipping the Scales""",9,1b,27-Dec-04,"The school choir is excited about singing in Crown City, but they aren't excited about Ms. Krasny's replacement, Dr. Frederique Fugue. All goes well until the road is closed and the trip is canceled. They stop at a diner and sing anyway.",https://static.wikia.nocookie.net/arthur/images/9/9d/Tipping_the_Scales_main_image.png/revision/latest?cb=20200320201654,https://arthur.fandom.com/wiki/Tipping_the_Scales
"""Francine's Big Top Trouble""",9,2a,28-Dec-04,"Francine and her friends go to circus camp, but she becomes frustrated when she isn't as good as her sister, Catherine, was.",https://static.wikia.nocookie.net/arthur/images/b/b2/Francine%27s_Big_Top_Trouble_main_image.png/revision/latest?cb=20200320201528,https://arthur.fandom.com/wiki/Francine%27s_Big_Top_Trouble
"""George Blows His Top""",9,2b,28-Dec-04,George becomes increasingly annoyed when Buster begins to take advantage of his kindness.,https://static.wikia.nocookie.net/arthur/images/6/67/George_Blows_His_Top_main_image.png/revision/latest?cb=20200320201414,https://arthur.fandom.com/wiki/George_Blows_His_Top
"""Arthur Weighs In""",9,3a,29-Dec-04,"After being unable to fit into a suit for his play (and instead, is given a ""husky"" suit for the role), Arthur looks at a variety of diets. He finds that exercise is the best way of keeping fit, as opposed to diets.",https://static.wikia.nocookie.net/arthur/images/3/31/Arthur_Weighs_In.png/revision/latest?cb=20200320201252,https://arthur.fandom.com/wiki/Arthur_Weighs_In
"""The Law of the Jungle Gym""",9,3b,29-Dec-04,"Muffy gets a new camera, and wants to use the playground as a photo studio. Unfortunately, that is the Tough Customers turf, and disagreements arise about who it really belongs to.",https://static.wikia.nocookie.net/arthur/images/e/ea/The_Law_of_the_Jungle_Gym.JPG/revision/latest?cb=20200320201143,https://arthur.fandom.com/wiki/The_Law_of_the_Jungle_Gym
"""Buster's Green Thumb""",9,4a,30-Dec-04,Buster decides to try his own hand at gardening with a tomato plant after trying home-grown tomatoes and finding out that commercial ones do not taste as good.,https://static.wikia.nocookie.net/arthur/images/8/81/Buster%27s_Green_Thumb.JPG/revision/latest?cb=20200320201103,https://arthur.fandom.com/wiki/Buster%27s_Green_Thumb
"""My Fair Tommy""",9,4b,30-Dec-04,D.W. teaches Tommy Tibble manners in a bet with Emily.,https://static.wikia.nocookie.net/arthur/images/b/b1/My_Fair_Tommy.png/revision/latest?cb=20200320201010,https://arthur.fandom.com/wiki/My_Fair_Tommy
"""Lights, Camera... Opera!""",9,5a,31-Dec-04,Muffy is not excited about going to the opera.,https://static.wikia.nocookie.net/arthur/images/1/12/Lights%2C_Camera%2C_Opera.png/revision/latest?cb=20110908145553,"https://arthur.fandom.com/wiki/Lights,_Camera..._Opera!"
"""All Worked Up""",9,5b,31-Dec-04,"Arthur aces five quizzes in a row. But his luck runs out when his mom takes a new job. At first, he and D.W. get all worked up over this change at home, but they learn that they'll always be priority #1.",https://static.wikia.nocookie.net/arthur/images/5/54/All_Worked_Up.JPG/revision/latest?cb=20120115190510,https://arthur.fandom.com/wiki/All_Worked_Up
"""Arthur Makes Waves""",9,6a,4-Apr-05,"The community pool is closed for repairs, but Arthur and D.W. can use the MacDonalds' pool. Arthur discovers that James' older sister is Molly. Eventually, they get along but avoid each other in public because their friends won't approve.",https://static.wikia.nocookie.net/arthur/images/b/b8/MacDonalds_Pool.JPG/revision/latest?cb=20120115190703,https://arthur.fandom.com/wiki/Arthur_Makes_Waves
"""It Came From Beyond""",9,6b,4-Apr-05,Grandma Thora finds a stray dog named Killer. She is a ferocious dog that barks at and bites other people and pets. Grandma Thora finds out that she has been in and out of the pound several times and changes her mind after leaving her there. She rethinks her behavior toward others.,https://static.wikia.nocookie.net/arthur/images/d/d1/Killer.jpg/revision/latest?cb=20111111182319,https://arthur.fandom.com/wiki/It_Came_From_Beyond
"""Three's a Crowd""",9,7a,5-Apr-05,"Prunella gets jealous when her friend, Marina, joins the yoga lessons which she has with her mother, and turns out to be better at it than her.",https://static.wikia.nocookie.net/arthur/images/e/e9/9x07a.png/revision/latest?cb=20100602021058,https://arthur.fandom.com/wiki/Three%27s_a_Crowd
"""A is for Angry""",9,7b,5-Apr-05,"Arthur cracks after unwanted support from his friends, who want him to defeat the Brain and participate in the inter-scholastic checkers tournament.",https://static.wikia.nocookie.net/arthur/images/a/ab/9x07b.png/revision/latest?cb=20100602020443,https://arthur.fandom.com/wiki/A_is_for_Angry
"""The ""A"" Team""",9,8a,6-Apr-05,"The Brain and Francine feel that their soccer team is doing stuff that is much too easy for them, so they join the Elwood City All-Stars. They practice hard, until they have a soccer game against their old team, but they become extra players for it.",https://static.wikia.nocookie.net/arthur/images/e/ee/9x08a.png/revision/latest?cb=20100520020625,https://arthur.fandom.com/wiki/The_%22A%22_Team
"""Emily Swallows a Horse""",9,8b,6-Apr-05,"D.W. finds a ball, drops it, and finds Emily holding it. Emily tries to make up an excuse to keep it instead of D.W. She lies but it keeps getting bigger as she tells more lies, such as when she said Marie-Hélène had a terrible disease called halitosis. She has a dream and tells Marie-Helene and D.W.",https://static.wikia.nocookie.net/arthur/images/8/8f/9x08b.png/revision/latest?cb=20200320200242,https://arthur.fandom.com/wiki/Emily_Swallows_a_Horse
"""D.W. Beats All""",9,9a,7-Apr-05,"When the Tibble Twins get a set of drums and decide to perform the Summer Serenade Festival, D.W. wishes that she has an instrument of her own to play, and ultimately creates her own.",https://static.wikia.nocookie.net/arthur/images/f/ff/9x09a.png/revision/latest?cb=20210503055238,https://arthur.fandom.com/wiki/D.W._Beats_All
"""Buster the Myth Maker""",9,9b,7-Apr-05,"After finding that Siberian tigers are living in Turkey Hill Park, Arthur and Buster decide to investigate. However, the myth turns out to be a hoax, set up by the Brain as an experiment.",https://static.wikia.nocookie.net/arthur/images/0/0e/9x09b.png/revision/latest?cb=20100521005330,https://arthur.fandom.com/wiki/Buster_the_Myth_Maker
"""Binky Goes Nuts""",9,10a,8-Apr-05,"Binky discovers that he's allergic to peanuts. He finds this discovery rather daunting at first, but soon discovers that there are many ways to cope with his allergy.",https://static.wikia.nocookie.net/arthur/images/f/fe/9x10a.png/revision/latest?cb=20100524172958,https://arthur.fandom.com/wiki/Binky_Goes_Nuts
"""Breezy Listening Blues""",9,10b,8-Apr-05,The Brain is convinced that his parents' Breezy Listening Blues CD is the reason why he didn't do as well as usual on a test. He also has to find some music that will suit everyone to play in their ice cream shop.,https://static.wikia.nocookie.net/arthur/images/e/e5/9x10b.png/revision/latest?cb=20200320195559,https://arthur.fandom.com/wiki/Breezy_Listening_Blues
"""Happy Anniversary""",10,1,15-May-06,"It is Arthur's parents' 10th anniversary and for their special dinner, they're going to a special restaurant but Arthur needs to go to Buster's house to sleepover, write a report about perspective, and watch the Bionic Bunny 10th Anniversary Special while D.W. needs to look for tin. All gets worse when Grandpa Dave needs to go to the Fireman's Ball and the car is stuck in the middle of the road. The entire Read family comes to understand that spending time together is indeed the most valuable celebration of all.",https://static.wikia.nocookie.net/arthur/images/6/6e/Happy_Anniversary.JPG/revision/latest?cb=20120113201458,https://arthur.fandom.com/wiki/Happy_Anniversary
"""The Squirrels""",10,2a,16-May-06,"Tonight on TV is a special film that freaks Arthur and Buster out was called The Squirrels. Everyone except Binky sees it and they (except him) start becoming afraid of squirrels, but they find that knowledge is the key to overcoming their fear.",https://static.wikia.nocookie.net/arthur/images/2/2d/The_Squirrels.jpg/revision/latest?cb=20110816191315,https://arthur.fandom.com/wiki/The_Squirrels_(episode)
"""Fern and Persimmony Glitchet""",10,2b,16-May-06,"Fern's favorite author is Persimmony Glitchet. One day, she wants to write her own story and gets advice from him. When her story under the name ""Agatha Shelley"" gets published and it is a disaster, she realizes that her old writing style suites her better, so she writes as she normally would and it is a hit.",https://static.wikia.nocookie.net/arthur/images/1/17/Fern_%26_Persimmony_Glitchet_42.jpg/revision/latest?cb=20160903101950,https://arthur.fandom.com/wiki/Fern_and_Persimmony_Glitchet
"""Desert Island Dish""",10,3a,17-May-06,"As a year-end assignment, Mr. Ratburn's class is to find the ""ideal food"", that is, if they were stranded on a desert island, they'd have to decide on a food to bring an unlimited supply of and why. The Brain researches many food items, but comes to the conclusion that a variety of foods is the best way to survive.",https://static.wikia.nocookie.net/arthur/images/8/81/Desert_Island_Dish.JPG/revision/latest?cb=20111114183529,https://arthur.fandom.com/wiki/Desert_Island_Dish
"""The Secret About Secrets""",10,3b,17-May-06,"D.W. is jealous because everyone seems to have been told a secret except her. When she learns one which could cause her friend, James, real embarrassment if she ever told it, she discovers that having one isn't all it's cracked up to be.",https://static.wikia.nocookie.net/arthur/images/e/eb/The_Secret_About_Secrets.jpg/revision/latest?cb=20110914155412,https://arthur.fandom.com/wiki/The_Secret_About_Secrets
"""Feeling Flush""",10,4a,18-May-06,"With Catherine complaining that Francine is using excessive water during a drought, she and Arthur compete to see who can conserve the most water in a bet.",https://static.wikia.nocookie.net/arthur/images/2/2e/Feeling_Flush.png/revision/latest?cb=20150915082606,https://arthur.fandom.com/wiki/Feeling_Flush
"""Family Fortune""",10,4b,18-May-06,"Arthur, D.W, and Grandma Thora search for something to bring to a TV auction show.",https://static.wikia.nocookie.net/arthur/images/7/7f/Family_Fortune.png/revision/latest?cb=20111007002517,https://arthur.fandom.com/wiki/Family_Fortune
"""D.W. Aims High""",10,5a,19-May-06,"D.W. dreams of becoming an astronaut and being the first person to set foot on Mars. The only problem is the Tibble Twins keep talking about it being the home of martians and purple blood-thirsty aliens, she decides it is scary, until her dad shows her ""The War of the Worlds"" and Mars in the planetarium. She learns that it is anything but the Tibbles' descriptions, and decides that she wishes to do her career project about being the first to set foot on there.",https://static.wikia.nocookie.net/arthur/images/0/08/D.W._Aims_High.JPG/revision/latest?cb=20111112172741,https://arthur.fandom.com/wiki/D.W._Aims_High
"""Flaw and Order""",10,5b,19-May-06,Buster and Arthur are falsely accused of breaking a cake plate that Mr. Read ordered. He now needs proof that they didn't do it: Arthur and Buster must go around and collect clues to determine that they aren't at fault.,https://static.wikia.nocookie.net/arthur/images/e/e3/Perske%27s_Kitchen_Shop_in_Flaw_and_Order_%28Buster_and_Arthur%29.png/revision/latest?cb=20151028034941,https://arthur.fandom.com/wiki/Flaw_and_Order
"""The Curse of the Grebes""",10,6a,22-May-06,"After the Elwood City Grebes lose their lead in the World Championships, Buster believes that he is ""The Curse of the Kid"", a curse that was put on them 86 years ago, but later believes otherwise after meeting three famous players at the market. Édgar Rentería, Mike Timlin, and Johnny Damon guest star.",https://static.wikia.nocookie.net/arthur/images/a/ae/The_Curse_of_the_Gerbes.JPG/revision/latest?cb=20111114224540,https://arthur.fandom.com/wiki/The_Curse_of_the_Grebes
"""Arthur Changes Gears""",10,6b,22-May-06,"After saving up the funds to buy the GX Trailblazer 10,000 bike and having purchased one, Arthur is hesitant in riding it for fear that it will become damaged. However, after a dream, he decides that the best way is to enjoy riding it, hence the purpose of having purchased it.",https://static.wikia.nocookie.net/arthur/images/2/2b/Arthur_Changes_Gears.JPG/revision/latest?cb=20111114224643,https://arthur.fandom.com/wiki/Arthur_Changes_Gears
"""Unfinished""",10,7a,23-May-06,"After finding an old novel titled ""93 Million Miles in a Balloon"", Arthur discovers that the end is missing and embarks on a hunt to find out what it is.",https://static.wikia.nocookie.net/arthur/images/a/a0/Unfinished.JPG/revision/latest?cb=20201013194305,https://arthur.fandom.com/wiki/Unfinished
"""D.W., Bossy Boots""",10,7b,23-May-06,"D.W. acts very bossy at Emily's birthday party and at home, until she has a dream that makes her realize her bossiness.",https://static.wikia.nocookie.net/arthur/images/4/4c/D.W._Bossy_Boots_48.JPG/revision/latest?cb=20120917200833,"https://arthur.fandom.com/wiki/D.W.,_Bossy_Boots"
"""Binky vs. Binky""",10,8a,24-May-06,"Binky overcomes his fear of competition within athletics when he takes up biking, and finds out that winning isn't everything, but rather, the courage to continue in the light of failure.",https://static.wikia.nocookie.net/arthur/images/2/25/Binky_vs._Binky.JPG/revision/latest?cb=20110908221720,https://arthur.fandom.com/wiki/Binky_vs._Binky
"""Operation: D.W.!""",10,8b,24-May-06,"D.W. needs ear tubes, and is initially fearful. Her family supports her and convinces her to go through with the operation.",https://static.wikia.nocookie.net/arthur/images/a/a0/Operation_D.W._2.jpg/revision/latest?cb=20160419074816,https://arthur.fandom.com/wiki/Operation:_D.W.!
"""Do You Speak George?""",10,9a,25-May-06,"The kids have split into groups who all have their own special, made-up language. Muffy and Francine refuse to let Arthur and Buster learn theirs, so they decide to make up their own. George wants to learn it, but struggles, and therefore tries to invent his own sign language. The ensuing confusion convinces everyone that their original one is the most practical.",https://static.wikia.nocookie.net/arthur/images/3/31/Do_You_Speak_George.png/revision/latest?cb=20110908014943,https://arthur.fandom.com/wiki/Do_You_Speak_George%3F
"""World Girls""",10,9b,25-May-06,"Muffy has become obsessed with World Girls. Each is dressed in the national costume of a particular country, and comes with accessories related to that country - there is also a book accompanying each one. Sue Ellen is interested in purchasing an accessory for hers, but when it goes out of production, she decides on another solution.",https://static.wikia.nocookie.net/arthur/images/e/e4/World_Girl.png/revision/latest?cb=20110909181609,https://arthur.fandom.com/wiki/World_Girls
"""What's Cooking?""",10,10a,26-May-06,"The big cooking competition is coming up and everyone is making a dish of their choice. Arthur decides to make a chocolate cake. Everything goes wrong when he accidently uses baking soda instead of baking powder, but he learns making mistakes in cooking may lead to the creation of a new recipe. Ming Tsai guest stars as himself.",https://static.wikia.nocookie.net/arthur/images/9/92/What%27s_Cooking.JPG/revision/latest?cb=20111114231134,https://arthur.fandom.com/wiki/What%27s_Cooking%3F
"""Buster's Special Delivery""",10,10b,26-May-06,"Mr. Haney has decided to choose the very first student mail carrier. Buster accepts the job with great enthusiasm. He starts not liking it, but eventually, some assistance teaches him to perform it better.",https://static.wikia.nocookie.net/arthur/images/8/8a/4th_Graders_2.jpg/revision/latest?cb=20111026215542,https://arthur.fandom.com/wiki/Buster%27s_Special_Delivery
"""Swept Away""",11,1a,25-Jun-07,"Arthur, D.W., and Buster try to keep their sand castle from being swept away by the tide at the beach.",https://static.wikia.nocookie.net/arthur/images/c/c7/Swept_Away.JPG/revision/latest?cb=20150902171830,https://arthur.fandom.com/wiki/Swept_Away
"""Germophobia""",11,1b,25-Jun-07,"Buster is unhygienic. After his friends tell him how germs are bad, he develops germophobia and starts seeing germs everywhere.",https://static.wikia.nocookie.net/arthur/images/6/67/Germophobia_111.jpg/revision/latest?cb=20120108175858,https://arthur.fandom.com/wiki/Germophobia
"""Arthur Sells Out""",11,2a,26-Jun-07,"Arthur tries to earn money for a new video game by selling some old toys, albeit unethically.",https://static.wikia.nocookie.net/arthur/images/f/f9/Arthur6.jpg/revision/latest?cb=20110916152836,https://arthur.fandom.com/wiki/Arthur_Sells_Out
"""Mind Your Manners""",11,2b,26-Jun-07,"The Tibble Twins need to learn table manners, and they practice with the help of Molly, until they eat at a restaurant where they had been naughty before.",https://static.wikia.nocookie.net/arthur/images/4/4d/Mind_your_Manners.jpg/revision/latest?cb=20111211224343,https://arthur.fandom.com/wiki/Mind_Your_Manners
"""Buenas Noches, Vicita""",11,3a,27-Jun-07,"Vicita can't fall asleep until she finds her book, so Arthur and D.W. help by remaking it.",https://static.wikia.nocookie.net/arthur/images/5/50/Jungle_animals.png/revision/latest?cb=20160604014422,"https://arthur.fandom.com/wiki/Buenas_Noches,_Vicita"
"""Prunella Packs It In""",11,3b,27-Jun-07,"Prunella is worried about college and decides to take numerous extra classes to become more ""well-rounded."" The work load and additional stress soon take their toll on her.",https://static.wikia.nocookie.net/arthur/images/3/3e/Prunella_Packs_It_In.jpg/revision/latest?cb=20160604095010,https://arthur.fandom.com/wiki/Prunella_Packs_It_In
"""Phony Fern""",11,4a,28-Jun-07,"Fern gets a cell phone for emergencies, but Muffy shows her the features and she won't stop using it to talk to Muffy, including texting in Mr. Ratburn's class.",https://static.wikia.nocookie.net/arthur/images/c/c8/Phony_Fern.JPG/revision/latest?cb=20120907000506,https://arthur.fandom.com/wiki/Phony_Fern
"""Brain's Shocking Secret""",11,4b,28-Jun-07,"The Brain is afraid of his classmates learning that he got held back in kindergarten, and for what reason.",https://static.wikia.nocookie.net/arthur/images/7/78/Kindergarten.JPG/revision/latest?cb=20160604101535,https://arthur.fandom.com/wiki/Brain%27s_Shocking_Secret
"""Baby Kate and the Imaginary Mystery""",11,5a,29-Jun-07,"When Nadine goes missing, Kate and Pal try to find out where she went, suspecting that the Tibbles had kidnapped her.",https://static.wikia.nocookie.net/arthur/images/a/a1/Baby_Kate_and_the_Imaginary_Mystery.JPG/revision/latest?cb=20110908013848,https://arthur.fandom.com/wiki/Baby_Kate_and_the_Imaginary_Mystery
"""Strangers on a Train""",11,5b,29-Jun-07,Sue Ellen finds a diary on a train and wonders who it belongs to.,https://static.wikia.nocookie.net/arthur/images/f/f3/Sue3.jpg/revision/latest?cb=20110819152940,https://arthur.fandom.com/wiki/Strangers_on_a_Train
"""The Making of Arthur""",11,6a,3-Sep-07,"Arthur and his friends are making home videos to send to ""Postcards From You"", hosted by Matt Damon. Arthur doesn't have anything interesting to enter and accidentally deletes his entry. Buster gives Arthur credit on his video about Arthur's life. Although they don't win, Matt is interested in making a television series about Buster's video. Matt Damon guest stars as himself.",https://static.wikia.nocookie.net/arthur/images/6/63/The_Making_of_Arthur.png/revision/latest?cb=20110908141743,https://arthur.fandom.com/wiki/The_Making_of_Arthur
"""Dancing Fools""",11,6b,3-Sep-07,"Francine and George are not excited about dancing classes as Muffy and Binky are, but they are chosen to represent the class in a dancing contest. They have fun but don't win. Meanwhile, Muffy and Binky become jealous of them and plan to get them to drop out of the competition.",https://static.wikia.nocookie.net/arthur/images/b/bd/11x06b.png/revision/latest?cb=20100612205623,https://arthur.fandom.com/wiki/Dancing_Fools
"""Hic or Treat""",11,7a,4-Sep-07,"Before Halloween, Arthur and his friends help D.W. get rid of the hiccups.",https://static.wikia.nocookie.net/arthur/images/6/67/HOT2.png/revision/latest?cb=20111101005933,https://arthur.fandom.com/wiki/Hic_or_Treat
"""Mr. Alwaysright""",11,7b,4-Sep-07,"Buster is annoyed by the Brain because he always seems to be right, even about Buster's present for his mom. Buster tries to find something the Brain is wrong about but fails. He confesses what he's been doing. The Brain finds out he was wrong about something and Buster finds a present he knows his mom will like.",https://static.wikia.nocookie.net/arthur/images/c/cb/Mr._Alwaysright.jpg/revision/latest?cb=20151107032151,https://arthur.fandom.com/wiki/Mr._Alwaysright
"""Francine's Pilfered Paper""",11,8a,5-Sep-07,"Mr. Ratburn assigns essays to his class and asks them to write a paper on a Thanksgiving topic. Francine plagiarizes an essay from the Internet and turns it in as her own work, only to discover she might be suspended from school.",https://static.wikia.nocookie.net/arthur/images/9/9a/Francine%27s_Pilfered_Paper.png/revision/latest?cb=20110829154717,https://arthur.fandom.com/wiki/Francine%27s_Pilfered_Paper
"""Buster Gets Real""",11,8b,5-Sep-07,"Buster is interested in a new reality series that Arthur can't stand. When Buster shows no interest in Bionic Bunny, Arthur is afraid that they will no longer be friends.",https://static.wikia.nocookie.net/arthur/images/5/5c/Buster_Gets_Real.png/revision/latest?cb=20110909185244,https://arthur.fandom.com/wiki/Buster_Gets_Real
"""D.W. on Ice""",11,9a,6-Sep-07,"D.W. boasts about her skills at ice skating for an upcoming ice skating party, but becomes worried that her friends will find out that she actually can't skate too well.",https://static.wikia.nocookie.net/arthur/images/d/d9/D.W._On_Ice.png/revision/latest?cb=20110909185739,https://arthur.fandom.com/wiki/D.W._on_Ice
"""Spoiled Rotten!""",11,9b,6-Sep-07,"Accused of being spoiled by her friends, Muffy sets about to prove them wrong by being the most charitable person around. But Francine is unimpressed by Muffy's token efforts - that is, until a used clothing store helps Muffy discover her true talents, and the true meaning of charity.",https://static.wikia.nocookie.net/arthur/images/7/74/Spoiled_rotten.png/revision/latest?cb=20111025220341,https://arthur.fandom.com/wiki/Spoiled_Rotten!
"""Big Brother Binky""",11,10,7-Sep-07,"The Barneses adopts a baby girl named Mei Lin from China. They bring her home to Elwood City, and the episode deals with how Binky copes with his new sister.",https://static.wikia.nocookie.net/arthur/images/e/e1/Mei-lin_2.jpg/revision/latest?cb=20120522030405,https://arthur.fandom.com/wiki/Big_Brother_Binky
"""Is That Kosher?""",12,1a,6-Oct-08,"Francine makes a bet with her sister, Catherine, that she can fast through Yom Kippur with their parents, but Arthur's pizza party is on the same day.",https://static.wikia.nocookie.net/arthur/images/0/07/Is_That_Kosher%3F.JPG/revision/latest?cb=20110908153602,https://arthur.fandom.com/wiki/Is_That_Kosher%3F
"""Never, Never, Never""",12,1b,6-Oct-08,"D.W. has too many toys in her room and her mom wants to send some to charity. She decides that she will give all of them to the people who love her most, forgetting that her mom said that she only needed to get rid of the ones she doesn't use. The Tibble Twins falsely say they love her more than ever, while Emily declines.",https://static.wikia.nocookie.net/arthur/images/f/fa/Nevernevernever.png/revision/latest?cb=20110904155555,"https://arthur.fandom.com/wiki/Never,_Never,_Never"
"""Room to Ride""",12,2a,13-Oct-08,"Binky watches a tape of Lance Armstrong, and decides to bike. Unfortunately, he hits a pothole and gets injured. He, Arthur, Buster, and the Brain start a campaign to put in more bike lanes for the city.",https://static.wikia.nocookie.net/arthur/images/d/d4/Room_to_Ride.jpg/revision/latest?cb=20120127143729,https://arthur.fandom.com/wiki/Room_to_Ride
"""The Frensky Family Fiasco""",12,2b,13-Oct-08,The episode begins with everyone arguing about who it should be about until Binky rolls the tape. Francine realizes that her family isn't spending enough time together and makes every Tuesday family night.,https://static.wikia.nocookie.net/arthur/images/b/b3/The_Frensky_Family_Fiasco.png/revision/latest?cb=20160903095818,https://arthur.fandom.com/wiki/The_Frensky_Family_Fiasco
"""D.W's Stray Netkitten""",12,3a,20-Oct-08,"D.W. asks Arthur and Emily to babysit her Netkitten since a ""clown"" virus hacked their computer.",https://static.wikia.nocookie.net/arthur/images/2/29/D.W.%27s_Stray_Netkitten.PNG/revision/latest?cb=20100816152055,https://arthur.fandom.com/wiki/D.W%27s_Stray_Netkitten
"""Bats in the Belfry""",12,3b,20-Oct-08,"Arthur, D.W., and Buster turn Grandma Thora's attic into a clubhouse until Arthur spots a bat.",https://static.wikia.nocookie.net/arthur/images/b/b7/Bats_in_the_Belfy.JPG/revision/latest?cb=20111115151810,https://arthur.fandom.com/wiki/Bats_in_the_Belfry
"""For the Birds""",12,4a,27-Oct-08,The Brain eats breakfast when he hears talk on radio about sightings of a rare bird and he unsuccessfully attempts to spot it so he can win a prize after he signs up for a bird-watching club. He is angry when Buster talks about it at school and disguises as a monster so he can scare away the remaining club members.,https://static.wikia.nocookie.net/arthur/images/e/ee/Gdgdgsdgf.jpg/revision/latest?cb=20200725235540,https://arthur.fandom.com/wiki/For_the_Birds
"""Ungifted""",12,4b,27-Oct-08,"Buster builds an old model harvester (called the Grain Reaper) bought by his Uncle Stu after he stumbled upon it in his closet. He hands it over to Arthur, who trades it for Binky's Bionic Bunny poster, who then gives it to the Brain, who donates it to Lakewood Elementary, who then puts it in the school sale.",https://static.wikia.nocookie.net/arthur/images/7/74/Ungifted.JPG/revision/latest?cb=20111114182717,https://arthur.fandom.com/wiki/Ungifted
"""The Chronicles of Buster""",12,5a,3-Nov-08,"Buster watches a commercial for the 376-disc special edition DVD of The Chronicles of Ahmayzzia. One month later, he does bad and Arthur does good when they train for a rock-climbing expedition.",https://static.wikia.nocookie.net/arthur/images/0/08/The_Chronicles_of_Buster.jpg/revision/latest?cb=20111113213803,https://arthur.fandom.com/wiki/The_Chronicles_of_Buster
"""On This Spot""",12,5b,3-Nov-08,"After a lecture, Arthur prints out some images of the famous Native American Sitting Bull and a tree on the site where he performed in Buffalo Bill's Wild West Show. Arthur's friends are not interested, and Buster starts making a tour called the ""Derek Montaigne Tour"" after Arthur asks what historic events were done in Elwood City.",https://static.wikia.nocookie.net/arthur/images/9/94/On_This_Spot.JPG/revision/latest?cb=20111115154305,https://arthur.fandom.com/wiki/On_This_Spot
"""The Cherry Tree""",12,6a,20-Apr-09,Muffy's insistence on having a huge Dream Bouncy Castle at her party results in her favorite cherry tree being cut down to make room for it.,https://static.wikia.nocookie.net/arthur/images/a/a6/Cherry_tree.png/revision/latest?cb=20130912021501,https://arthur.fandom.com/wiki/The_Cherry_Tree
"""Matchmaker, Match Breaker""",12,6b,20-Apr-09,"Francine and Muffy play matchmaker for their older siblings, Chip and Catherine, thinking if they marry they will become sisters.",https://static.wikia.nocookie.net/arthur/images/6/6e/Matchmaker%2C_Match_Breaker.png/revision/latest?cb=20120716005531,"https://arthur.fandom.com/wiki/Matchmaker,_Match_Breaker"
"""War of the Worms""",12,7a,21-Apr-09,"Fern tricks the Brain into believing that Elwood City is under attack from giant worms, leaving unmistakable evidence, while eventually leading him into a rampage against worms.",https://static.wikia.nocookie.net/arthur/images/1/1d/War_of_the_Worms_35.jpg/revision/latest?cb=20111115002114,https://arthur.fandom.com/wiki/War_of_the_Worms
"""I Owe You One""",12,7b,21-Apr-09,Buster tries to repay all of the favors he owes Arthur by helping everyone whom Arthur owes favors to.,https://static.wikia.nocookie.net/arthur/images/f/f3/I_Owe_You_One.JPG/revision/latest?cb=20110913161916,https://arthur.fandom.com/wiki/I_Owe_You_One
"""The Blackout""",12,8a,22-Apr-09,"Arthur and D.W. aren't sure they can survive without T.V. and A.C., when a blackout hits Elwood City on the hottest day of the year, until they learn about how the Molinas deal with the heat.",https://static.wikia.nocookie.net/arthur/images/8/84/The_Blackout.png/revision/latest?cb=20110908031650,https://arthur.fandom.com/wiki/The_Blackout
