Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""The Feud""[52]",22,1b,13-May-19,Just about the entire third grade class chooses sides when Arthur and Buster argue over a video game.,https://static.wikia.nocookie.net/arthur/images/4/4e/The_Feud.png/revision/latest?cb=20190513180919,https://arthur.fandom.com/wiki/The_Feud
"""When Rivals Came to Roost""[53]",22,2a,14-May-19,Lakewood Elementary students must share their school with rival students whose school gets flooded.,https://static.wikia.nocookie.net/arthur/images/b/b3/When_Rivals_Came_to_Roost.png/revision/latest?cb=20190514145008,https://arthur.fandom.com/wiki/When_Rivals_Came_to_Roost
"""The Longest Eleven Minutes""[53]",22,2b,14-May-19,The gang doesn't know what to do when the Internet goes out.,https://static.wikia.nocookie.net/arthur/images/7/71/The_Longest_Eleven_Minutes.png/revision/latest?cb=20200509203924,https://arthur.fandom.com/wiki/The_Longest_Eleven_Minutes
"""Muffy's House Guests""[11]",22,3a,15-May-19,Muffy is terrified when peregrine falcons build a nest outside her bedroom window.,https://static.wikia.nocookie.net/arthur/images/6/6c/Muffy%27s_House_Guests.png/revision/latest?cb=20190516015543,https://arthur.fandom.com/wiki/Muffy%27s_House_Guests
"""Binky Can't Always Get What He Wants""[11]",22,3b,15-May-19,Binky must choose between starring in a television commercial or performing in a talent show.,https://static.wikia.nocookie.net/arthur/images/4/4d/Binky_Can%27t_Always_Get_What_He_Wants.png/revision/latest?cb=20190516014531,https://arthur.fandom.com/wiki/Binky_Can%27t_Always_Get_What_He_Wants
"""Muffy's Car Campaign""[46]",22,4a,16-May-19,Muffy worries that a petition to help protect the environment may put Crosswire Motors out of business.,https://static.wikia.nocookie.net/arthur/images/a/ad/Muffy%27s_Car_Campaign.png/revision/latest?cb=20190611041809,https://arthur.fandom.com/wiki/Muffy%27s_Car_Campaign
"""Truth or Poll""[46]",22,4b,16-May-19,Brain suggests that Binky conduct a poll about the latest math test.,https://static.wikia.nocookie.net/arthur/images/0/0f/Truth_or_Poll.png/revision/latest?cb=20190516233144,https://arthur.fandom.com/wiki/Truth_or_Poll
"""Fright Night""",23,1a,14-Oct-19,Buster's uncle Bob tells him a spooky bedtime story about an encounter with a mysterious creature called the lycanbunny.[11],https://static.wikia.nocookie.net/arthur/images/d/de/Frightnight.png/revision/latest?cb=20191016022610,https://arthur.fandom.com/wiki/Fright_Night
"""Citizen Cheikh""",23,1b,14-Oct-19,"Cheikh is worried that if he and his family become American citizens, then they will have to abandon their Senegalese culture.[11]",https://static.wikia.nocookie.net/arthur/images/9/99/Citizencheikh.png/revision/latest?cb=20191016022156,https://arthur.fandom.com/wiki/Citizen_Cheikh
"""When Duty Calls""",23,2,16-Oct-19,Fern and the others try to make an upset Ladonna feel better after she finds out her family will have to move.[62],https://static.wikia.nocookie.net/arthur/images/2/27/Goodbye_1.jpg/revision/latest?cb=20200628052752,https://arthur.fandom.com/wiki/When_Duty_Calls
"""The Pea and the Princess""",23,3a,15-Oct-19,"Prunella is directing the third-grade's production of ""The Princess and the Pea,"" but nothing seems to go according to her plan.[46]",https://static.wikia.nocookie.net/arthur/images/3/33/Tpatp.png/revision/latest?cb=20191016021223,https://arthur.fandom.com/wiki/The_Pea_and_the_Princess
"""D.W. and Dr. Whosit""",23,3b,15-Oct-19,D.W. is determined to watch a new television show after her parents tell her she's too young to watch.[46],https://static.wikia.nocookie.net/arthur/images/d/d4/Dwadw.png/revision/latest?cb=20191016021114,https://arthur.fandom.com/wiki/D.W._and_Dr._Whosit
